,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
0,1,Bitcoin,BTC,bitcoin,11025,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000,19695478,19695478,FALSE,,1,,,,2024-05-08T16:00:00.000Z,62258.83645,25342752354,-1.7265,-0.50427313,-2.3318348,9.58923313,-13.26484084,-9.03944937,37.02655707,1.22622E+12,53.4255,1.30744E+12,,2024-05-08T16:00:00.000Z,,,,,,01:00.9
1,1027,Ethereum,ETH,ethereum,8900,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120103321.1,120103321.1,TRUE,,2,,,,2024-05-08T15:59:00.000Z,3006.426146,11508987380,-1.4625,-0.49118755,-2.11367858,4.31011502,-17.15337828,-23.40548704,22.51901426,3.61082E+11,15.726,3.61082E+11,,2024-05-08T15:59:00.000Z,,,,,,01:00.9
2,825,Tether USDt,USDT,tether,84918,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,1.10971E+11,1.13087E+11,TRUE,,3,,,,2024-05-08T15:59:00.000Z,0.999823275,45337440319,-1.7838,-0.00729952,-0.01435733,0.10796457,-0.01406243,-0.24658117,-0.01236637,1.10951E+11,4.8322,1.13067E+11,,2024-05-08T15:59:00.000Z,1027,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,01:00.9
3,1839,BNB,BNB,bnb,2154,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147587171.5,147587171.5,FALSE,,4,,,,2024-05-08T15:59:00.000Z,582.5318629,1562342663,4.1,-0.5093088,-1.98060954,7.01072866,-0.85609421,19.81613412,82.06535653,85974229940,3.7458,85974229940,,2024-05-08T15:59:00.000Z,,,,,,01:00.9
4,5426,Solana,SOL,solana,656,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,448097900.5,575546221.8,TRUE,,5,,,,2024-05-08T15:59:00.000Z,145.7941743,2371251884,-12.4709,-1.53552482,-5.76157938,18.39751722,-19.62412598,-1.01295412,39.20373793,65330063402,2.8439,83911286174,,2024-05-08T15:59:00.000Z,,,,,,01:00.9
5,3408,USDC,USDC,usd-coin,18943,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,33195415202,33195415202,FALSE,,6,,,,2024-05-08T15:59:00.000Z,1.000154367,5380389694,-3.6516,0.01161248,0.02010583,0.01675741,0.01288536,0.01966161,0.01628279,33200539478,1.4453,33200539478,,2024-05-08T15:59:00.000Z,1027,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,01:00.9
6,52,XRP,XRP,xrp,1314,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",1E+11,55235913166,99987652657,FALSE,,7,,,,2024-05-08T16:00:00.000Z,0.527941652,1160285389,-31.2742,0.13367561,-2.32558545,6.07727537,-14.20533277,-15.25075877,2.03639876,29161339272,1.2694,52794165245,,2024-05-08T16:00:00.000Z,,,,,,01:00.9
7,74,Dogecoin,DOGE,dogecoin,962,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,1.44207E+11,1.44207E+11,TRUE,,8,,,,2024-05-08T16:00:00.000Z,0.14854363,1121189236,-7.8013,-0.92102261,-5.13161161,23.25312928,-26.77032871,-12.73079446,84.0977979,21420986184,0.9333,21420986184,,2024-05-08T16:00:00.000Z,,,,,,01:00.9
8,11419,Toncoin,TON,toncoin,312,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3473404500,5106321138,TRUE,,9,3414166606,19789383997,,2024-05-08T15:59:00.000Z,5.796256094,198489883.6,21.2308,-1.04336871,-1.68521599,25.73307072,-3.56295998,101.0172392,177.6676168,20132742000,0.8756,29597545014,,2024-05-08T15:59:00.000Z,,,,,,01:00.9
9,2010,Cardano,ADA,cardano,1162,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000,35658352021,36855324087,FALSE,,10,,,,2024-05-08T15:59:00.000Z,0.463600149,437192120,38.6027,1.4523245,2.41476553,6.65911455,-23.61509228,-37.17497699,-12.92347507,16531217307,0.7189,20862006701,,2024-05-08T15:59:00.000Z,,,,,,01:00.9
